bx,by,m_5p
-2938541.6666666665,-848958.333333333,2.0832912989900076e+16
-2938541.6666666665,-787500.0,2.068354616567582e+16
-2938541.6666666665,-726041.6666666665,2.068354616567582e+16
-2938541.6666666665,-664583.333333333,2.053525026457147e+16
-2938541.6666666665,-603125.0,2.053525026457147e+16
-2938541.6666666665,-541666.6666666665,2.0388017608333748e+16
-2938541.6666666665,-480208.333333333,2.0388017608333748e+16
-2938541.6666666665,-418750.0,2.0388017608333748e+16
-2938541.6666666665,-357291.6666666665,2.0241840573760556e+16
-2938541.6666666665,-295833.333333333,2.0241840573760556e+16
-2938541.6666666665,-234375.0,2.0241840573760556e+16
-2938541.6666666665,-172916.6666666665,2.0241840573760556e+16
-2938541.6666666665,-111458.33333333302,2.0241840573760556e+16
-2938541.6666666665,-50000.0,2.0241840573760556e+16
-2877083.3333333335,-3000000.0,2.6039041873987076e+16
-2877083.3333333335,-2938541.6666666665,2.5852348395621896e+16
-2877083.3333333335,-2877083.3333333335,2.566699346323827e+16
-2877083.3333333335,-2815625.0,2.5482967479793364e+16
-2877083.3333333335,-2754166.6666666665,2.530026091705238e+16
-2877083.3333333335,-2692708.3333333335,2.4938768281829356e+16
-2877083.3333333335,-2631250.0,2.4759963492497816e+16
-2877083.3333333335,-2569791.6666666665,2.45824406892021e+16
-2877083.3333333335,-2508333.3333333335,2.4406190680419796e+16
-2877083.3333333335,-2446875.0,2.4231204340529796e+16
-2877083.3333333335,-2385416.6666666665,2.4057472609339416e+16
-2877083.3333333335,-2323958.333333333,2.3884986491614976e+16
-2877083.3333333335,-2262500.0,2.371373705661655e+16
-2877083.3333333335,-2201041.6666666665,2.354371543763542e+16
-2877083.3333333335,-2139583.333333333,2.337491283153497e+16
-2877083.3333333335,-2078125.0,2.3207320498294876e+16
-2877083.3333333335,-2016666.6666666665,2.3040929760558456e+16
-2877083.3333333335,-1955208.3333333333,2.2875732003183836e+16
-2877083.3333333335,-1893750.0,2.2711718672797576e+16
-2877083.3333333335,-1832291.6666666665,2.254888127735148e+16
-2877083.3333333335,-1770833.3333333333,2.254888127735148e+16
-2877083.3333333335,-1709375.0,2.23872113856834e+16
-2877083.3333333335,-1647916.6666666665,2.2226700627080524e+16
-2877083.3333333335,-1586458.3333333333,2.206734069084598e+16
-2877083.3333333335,-1525000.0,2.190912332586854e+16
-2877083.3333333335,-1463541.6666666665,2.175204034019523e+16
-2877083.3333333335,-1402083.3333333333,2.159608360060768e+16
-2877083.3333333335,-1340625.0,2.1441245032200652e+16
-2877083.3333333335,-1279166.6666666665,2.1287516617963696e+16
-2877083.3333333335,-1217708.3333333333,2.1287516617963696e+16
-2877083.3333333335,-1156250.0,2.1134890398366476e+16
-2877083.3333333335,-1094791.6666666665,2.0983358470946524e+16
-2877083.3333333335,-1033333.3333333333,2.0832912989900076e+16
-2877083.3333333335,-971875.0,2.0832912989900076e+16
-2877083.3333333335,-910416.6666666665,2.068354616567582e+16
-2877083.3333333335,-848958.333333333,2.053525026457147e+16
-2877083.3333333335,-787500.0,2.053525026457147e+16
-2877083.3333333335,-726041.6666666665,2.0388017608333748e+16
-2877083.3333333335,-664583.333333333,2.0388017608333748e+16
-2877083.3333333335,-603125.0,2.0241840573760556e+16
-2877083.3333333335,-541666.6666666665,2.0241840573760556e+16
-2877083.3333333335,-480208.333333333,2.0241840573760556e+16
-2877083.3333333335,-418750.0,2.009671159230597e+16
-2877083.3333333335,-357291.6666666665,2.009671159230597e+16
-2877083.3333333335,-295833.333333333,2.009671159230597e+16
-2877083.3333333335,-234375.0,1.995262314968881e+16
-2877083.3333333335,-172916.6666666665,1.995262314968881e+16
-2877083.3333333335,-111458.33333333302,1.995262314968881e+16
-2877083.3333333335,-50000.0,1.995262314968881e+16
-2815625.0,-3000000.0,2.5852348395621896e+16
-2815625.0,-2938541.6666666665,2.566699346323827e+16
-2815625.0,-2877083.3333333335,2.5482967479793364e+16
-2815625.0,-2815625.0,2.530026091705238e+16
-2815625.0,-2754166.6666666665,2.511886431509579e+16
-2815625.0,-2692708.3333333335,2.4938768281829356e+16
-2815625.0,-2631250.0,2.4759963492497816e+16
-2815625.0,-2569791.6666666665,2.45824406892021e+16
-2815625.0,-2508333.3333333335,2.4406190680419796e+16
-2815625.0,-2446875.0,2.4231204340529796e+16
-2815625.0,-2385416.6666666665,2.4057472609339416e+16
-2815625.0,-2323958.333333333,2.3884986491614976e+16
-2815625.0,-2262500.0,2.371373705661655e+16
-2815625.0,-2201041.6666666665,2.354371543763542e+16
-2815625.0,-2139583.333333333,2.337491283153497e+16
-2815625.0,-2078125.0,2.3207320498294876e+16
-2815625.0,-2016666.6666666665,2.3040929760558456e+16
-2815625.0,-1955208.3333333333,2.2875732003183836e+16
-2815625.0,-1893750.0,2.2711718672797576e+16
-2815625.0,-1832291.6666666665,2.254888127735148e+16
-2815625.0,-1770833.3333333333,2.23872113856834e+16
-2815625.0,-1709375.0,2.2226700627080524e+16
-2815625.0,-1647916.6666666665,2.206734069084598e+16
-2815625.0,-1586458.3333333333,2.190912332586854e+16
-2815625.0,-1525000.0,2.175204034019523e+16
-2815625.0,-1463541.6666666665,2.159608360060768e+16
-2815625.0,-1402083.3333333333,2.1441245032200652e+16
-2815625.0,-1340625.0,2.1287516617963696e+16
-2815625.0,-1279166.6666666665,2.1134890398366476e+16
-2815625.0,-1217708.3333333333,2.1134890398366476e+16
-2815625.0,-1156250.0,2.0983358470946524e+16
-2815625.0,-1094791.6666666665,2.0832912989900076e+16
-2815625.0,-1033333.3333333333,2.068354616567582e+16
-2815625.0,-971875.0,2.053525026457147e+16
-2815625.0,-910416.6666666665,2.053525026457147e+16
-2815625.0,-848958.333333333,2.0388017608333748e+16
-2815625.0,-787500.0,2.0388017608333748e+16
-2815625.0,-726041.6666666665,2.0241840573760556e+16
-2815625.0,-664583.333333333,2.009671159230597e+16
-2815625.0,-603125.0,2.009671159230597e+16
-2815625.0,-541666.6666666665,1.995262314968881e+16
-2815625.0,-480208.333333333,1.995262314968881e+16
-2815625.0,-418750.0,1.995262314968881e+16
-2815625.0,-357291.6666666665,1.9809567785503436e+16
-2815625.0,-295833.333333333,1.9809567785503436e+16
-2815625.0,-234375.0,1.9809567785503436e+16
-2815625.0,-172916.6666666665,1.9809567785503436e+16
-2815625.0,-111458.33333333302,1.9809567785503436e+16
-2815625.0,-50000.0,1.9809567785503436e+16
-2754166.6666666665,-3000000.0,2.5852348395621896e+16
-2754166.6666666665,-2938541.6666666665,2.566699346323827e+16
-2754166.6666666665,-2877083.3333333335,2.5482967479793364e+16
-2754166.6666666665,-2815625.0,2.530026091705238e+16
-2754166.6666666665,-2754166.6666666665,2.511886431509579e+16
-2754166.6666666665,-2692708.3333333335,2.4938768281829356e+16
-2754166.6666666665,-2631250.0,2.4759963492497816e+16
-2754166.6666666665,-2569791.6666666665,2.45824406892021e+16
-2754166.6666666665,-2508333.3333333335,2.4231204340529796e+16
-2754166.6666666665,-2446875.0,2.4057472609339416e+16
-2754166.6666666665,-2385416.6666666665,2.3884986491614976e+16
-2754166.6666666665,-2323958.333333333,2.371373705661655e+16
-2754166.6666666665,-2262500.0,2.354371543763542e+16
-2754166.6666666665,-2201041.6666666665,2.337491283153497e+16
-2754166.6666666665,-2139583.333333333,2.3207320498294876e+16
-2754166.6666666665,-2078125.0,2.3040929760558456e+16
-2754166.6666666665,-2016666.6666666665,2.2875732003183836e+16
-2754166.6666666665,-1955208.3333333333,2.2711718672797576e+16
-2754166.6666666665,-1893750.0,2.254888127735148e+16
-2754166.6666666665,-1832291.6666666665,2.23872113856834e+16
-2754166.6666666665,-1770833.3333333333,2.2226700627080524e+16
-2754166.6666666665,-1709375.0,2.206734069084598e+16
-2754166.6666666665,-1647916.6666666665,2.190912332586854e+16
-2754166.6666666665,-1586458.3333333333,2.175204034019523e+16
-2754166.6666666665,-1525000.0,2.159608360060768e+16
-2754166.6666666665,-1463541.6666666665,2.1441245032200652e+16
-2754166.6666666665,-1402083.3333333333,2.1287516617963696e+16
-2754166.6666666665,-1340625.0,2.1134890398366476e+16
-2754166.6666666665,-1279166.6666666665,2.0983358470946524e+16
-2754166.6666666665,-1217708.3333333333,2.0832912989900076e+16
-2754166.6666666665,-1156250.0,2.0832912989900076e+16
-2754166.6666666665,-1094791.6666666665,2.068354616567582e+16
-2754166.6666666665,-1033333.3333333333,2.053525026457147e+16
-2754166.6666666665,-971875.0,2.0388017608333748e+16
-2754166.6666666665,-910416.6666666665,2.0241840573760556e+16
-2754166.6666666665,-848958.333333333,2.0241840573760556e+16
-2754166.6666666665,-787500.0,2.009671159230597e+16
-2754166.6666666665,-726041.6666666665,2.009671159230597e+16
-2754166.6666666665,-664583.333333333,1.995262314968881e+16
-2754166.6666666665,-603125.0,1.9809567785503436e+16
-2754166.6666666665,-541666.6666666665,1.9809567785503436e+16
-2754166.6666666665,-480208.333333333,1.9809567785503436e+16
-2754166.6666666665,-418750.0,1.9667538092833464e+16
-2754166.6666666665,-357291.6666666665,1.9667538092833464e+16
-2754166.6666666665,-295833.333333333,1.9667538092833464e+16
-2754166.6666666665,-234375.0,1.952652671786827e+16
-2754166.6666666665,-172916.6666666665,1.952652671786827e+16
-2754166.6666666665,-111458.33333333302,1.952652671786827e+16
-2754166.6666666665,-50000.0,1.952652671786827e+16
-2692708.3333333335,-3000000.0,2.5852348395621896e+16
-2692708.3333333335,-2938541.6666666665,2.566699346323827e+16
-2692708.3333333335,-2877083.3333333335,2.5482967479793364e+16
-2692708.3333333335,-2815625.0,2.511886431509579e+16
-2692708.3333333335,-2754166.6666666665,2.4938768281829356e+16
-2692708.3333333335,-2692708.3333333335,2.4759963492497816e+16
-2692708.3333333335,-2631250.0,2.45824406892021e+16
-2692708.3333333335,-2569791.6666666665,2.4406190680419796e+16
-2692708.3333333335,-2508333.3333333335,2.4231204340529796e+16
-2692708.3333333335,-2446875.0,2.4057472609339416e+16
-2692708.3333333335,-2385416.6666666665,2.3884986491614976e+16
-2692708.3333333335,-2323958.333333333,2.371373705661655e+16
-2692708.3333333335,-2262500.0,2.354371543763542e+16
-2692708.3333333335,-2201041.6666666665,2.3207320498294876e+16
-2692708.3333333335,-2139583.333333333,2.3040929760558456e+16
-2692708.3333333335,-2078125.0,2.2875732003183836e+16
-2692708.3333333335,-2016666.6666666665,2.2711718672797576e+16
-2692708.3333333335,-1955208.3333333333,2.254888127735148e+16
-2692708.3333333335,-1893750.0,2.23872113856834e+16
-2692708.3333333335,-1832291.6666666665,2.2226700627080524e+16
-2692708.3333333335,-1770833.3333333333,2.206734069084598e+16
-2692708.3333333335,-1709375.0,2.190912332586854e+16
-2692708.3333333335,-1647916.6666666665,2.175204034019523e+16
-2692708.3333333335,-1586458.3333333333,2.159608360060768e+16
-2692708.3333333335,-1525000.0,2.1441245032200652e+16
-2692708.3333333335,-1463541.6666666665,2.1287516617963696e+16
-2692708.3333333335,-1402083.3333333333,2.1134890398366476e+16
-2692708.3333333335,-1340625.0,2.0983358470946524e+16
-2692708.3333333335,-1279166.6666666665,2.0832912989900076e+16
-2692708.3333333335,-1217708.3333333333,2.068354616567582e+16
-2692708.3333333335,-1156250.0,2.053525026457147e+16
-2692708.3333333335,-1094791.6666666665,2.0388017608333748e+16
-2692708.3333333335,-1033333.3333333333,2.0388017608333748e+16
-2692708.3333333335,-971875.0,2.0241840573760556e+16
-2692708.3333333335,-910416.6666666665,2.009671159230597e+16
-2692708.3333333335,-848958.333333333,1.995262314968881e+16
-2692708.3333333335,-787500.0,1.995262314968881e+16
-2692708.3333333335,-726041.6666666665,1.9809567785503436e+16
-2692708.3333333335,-664583.333333333,1.9667538092833464e+16
-2692708.3333333335,-603125.0,1.9667538092833464e+16
-2692708.3333333335,-541666.6666666665,1.952652671786827e+16
-2692708.3333333335,-480208.333333333,1.952652671786827e+16
-2692708.3333333335,-418750.0,1.952652671786827e+16
-2692708.3333333335,-357291.6666666665,1.938652635952209e+16
-2692708.3333333335,-295833.333333333,1.938652635952209e+16
-2692708.3333333335,-234375.0,1.938652635952209e+16
-2692708.3333333335,-172916.6666666665,1.938652635952209e+16
-2692708.3333333335,-111458.33333333302,1.92475297690564e+16
-2692708.3333333335,-50000.0,1.92475297690564e+16
-2631250.0,-3000000.0,2.566699346323827e+16
-2631250.0,-2938541.6666666665,2.5482967479793364e+16
-2631250.0,-2877083.3333333335,2.530026091705238e+16
-2631250.0,-2815625.0,2.511886431509579e+16
-2631250.0,-2754166.6666666665,2.4938768281829356e+16
-2631250.0,-2692708.3333333335,2.4759963492497816e+16
-2631250.0,-2631250.0,2.45824406892021e+16
-2631250.0,-2569791.6666666665,2.4406190680419796e+16
-2631250.0,-2508333.3333333335,2.4057472609339416e+16
-2631250.0,-2446875.0,2.3884986491614976e+16
-2631250.0,-2385416.6666666665,2.371373705661655e+16
-2631250.0,-2323958.333333333,2.354371543763542e+16
-2631250.0,-2262500.0,2.337491283153497e+16
-2631250.0,-2201041.6666666665,2.3207320498294876e+16
-2631250.0,-2139583.333333333,2.3040929760558456e+16
-2631250.0,-2078125.0,2.2875732003183836e+16
-2631250.0,-2016666.6666666665,2.254888127735148e+16
-2631250.0,-1955208.3333333333,2.23872113856834e+16
-2631250.0,-1893750.0,2.2226700627080524e+16
-2631250.0,-1832291.6666666665,2.206734069084598e+16
-2631250.0,-1770833.3333333333,2.190912332586854e+16
-2631250.0,-1709375.0,2.175204034019523e+16
-2631250.0,-1647916.6666666665,2.159608360060768e+16
-2631250.0,-1586458.3333333333,2.1441245032200652e+16
-2631250.0,-1525000.0,2.1287516617963696e+16
-2631250.0,-1463541.6666666665,2.1134890398366476e+16
-2631250.0,-1402083.3333333333,2.0983358470946524e+16
-2631250.0,-1340625.0,2.0832912989900076e+16
-2631250.0,-1279166.6666666665,2.068354616567582e+16
-2631250.0,-1217708.3333333333,2.053525026457147e+16
-2631250.0,-1156250.0,2.0388017608333748e+16
-2631250.0,-1094791.6666666665,2.0241840573760556e+16
-2631250.0,-1033333.3333333333,2.009671159230597e+16
-2631250.0,-971875.0,1.995262314968881e+16
-2631250.0,-910416.6666666665,1.995262314968881e+16
-2631250.0,-848958.333333333,1.9809567785503436e+16
-2631250.0,-787500.0,1.9667538092833464e+16
-2631250.0,-726041.6666666665,1.9667538092833464e+16
-2631250.0,-664583.333333333,1.952652671786827e+16
-2631250.0,-603125.0,1.938652635952209e+16
-2631250.0,-541666.6666666665,1.938652635952209e+16
-2631250.0,-480208.333333333,1.92475297690564e+16
-2631250.0,-418750.0,1.92475297690564e+16
-2631250.0,-357291.6666666665,1.92475297690564e+16
-2631250.0,-295833.333333333,1.910952974970435e+16
-2631250.0,-234375.0,1.910952974970435e+16
-2631250.0,-172916.6666666665,1.910952974970435e+16
-2631250.0,-111458.33333333302,1.910952974970435e+16
-2631250.0,-50000.0,1.910952974970435e+16
-2569791.6666666665,-3000000.0,2.566699346323827e+16
-2569791.6666666665,-2938541.6666666665,2.5482967479793364e+16
-2569791.6666666665,-2877083.3333333335,2.530026091705238e+16
-2569791.6666666665,-2815625.0,2.511886431509579e+16
-2569791.6666666665,-2754166.6666666665,2.4938768281829356e+16
-2569791.6666666665,-2692708.3333333335,2.45824406892021e+16
-2569791.6666666665,-2631250.0,2.4406190680419796e+16
-2569791.6666666665,-2569791.6666666665,2.4231204340529796e+16
-2569791.6666666665,-2508333.3333333335,2.4057472609339416e+16
-2569791.6666666665,-2446875.0,2.3884986491614976e+16
-2569791.6666666665,-2385416.6666666665,2.371373705661655e+16
-2569791.6666666665,-2323958.333333333,2.354371543763542e+16
-2569791.6666666665,-2262500.0,2.3207320498294876e+16
-2569791.6666666665,-2201041.6666666665,2.3040929760558456e+16
-2569791.6666666665,-2139583.333333333,2.2875732003183836e+16
-2569791.6666666665,-2078125.0,2.2711718672797576e+16
-2569791.6666666665,-2016666.6666666665,2.254888127735148e+16
-2569791.6666666665,-1955208.3333333333,2.23872113856834e+16
-2569791.6666666665,-1893750.0,2.206734069084598e+16
-2569791.6666666665,-1832291.6666666665,2.190912332586854e+16
-2569791.6666666665,-1770833.3333333333,2.175204034019523e+16
-2569791.6666666665,-1709375.0,2.159608360060768e+16
-2569791.6666666665,-1647916.6666666665,2.1441245032200652e+16
-2569791.6666666665,-1586458.3333333333,2.1287516617963696e+16
-2569791.6666666665,-1525000.0,2.1134890398366476e+16
-2569791.6666666665,-1463541.6666666665,2.0983358470946524e+16
-2569791.6666666665,-1402083.3333333333,2.0832912989900076e+16
-2569791.6666666665,-1340625.0,2.068354616567582e+16
-2569791.6666666665,-1279166.6666666665,2.053525026457147e+16
-2569791.6666666665,-1217708.3333333333,2.0388017608333748e+16
-2569791.6666666665,-1156250.0,2.0241840573760556e+16
-2569791.6666666665,-1094791.6666666665,2.009671159230597e+16
-2569791.6666666665,-1033333.3333333333,1.995262314968881e+16
-2569791.6666666665,-971875.0,1.9809567785503436e+16
-2569791.6666666665,-910416.6666666665,1.9667538092833464e+16
-2569791.6666666665,-848958.333333333,1.952652671786827e+16
-2569791.6666666665,-787500.0,1.952652671786827e+16
-2569791.6666666665,-726041.6666666665,1.938652635952209e+16
-2569791.6666666665,-664583.333333333,1.92475297690564e+16
-2569791.6666666665,-603125.0,1.92475297690564e+16
-2569791.6666666665,-541666.6666666665,1.910952974970435e+16
-2569791.6666666665,-480208.333333333,1.910952974970435e+16
-2569791.6666666665,-418750.0,1.8972519156297852e+16
-2569791.6666666665,-357291.6666666665,1.8972519156297852e+16
-2569791.6666666665,-295833.333333333,1.8972519156297852e+16
-2569791.6666666665,-234375.0,1.883649089489802e+16
-2569791.6666666665,-172916.6666666665,1.883649089489802e+16
-2569791.6666666665,-111458.33333333302,1.883649089489802e+16
-2569791.6666666665,-50000.0,1.883649089489802e+16
-2508333.3333333335,-3000000.0,2.566699346323827e+16
-2508333.3333333335,-2938541.6666666665,2.5482967479793364e+16
-2508333.3333333335,-2877083.3333333335,2.530026091705238e+16
-2508333.3333333335,-2815625.0,2.4938768281829356e+16
-2508333.3333333335,-2754166.6666666665,2.4759963492497816e+16
-2508333.3333333335,-2692708.3333333335,2.45824406892021e+16
-2508333.3333333335,-2631250.0,2.4406190680419796e+16
-2508333.3333333335,-2569791.6666666665,2.4231204340529796e+16
-2508333.3333333335,-2508333.3333333335,2.4057472609339416e+16
-2508333.3333333335,-2446875.0,2.371373705661655e+16
-2508333.3333333335,-2385416.6666666665,2.354371543763542e+16
-2508333.3333333335,-2323958.333333333,2.337491283153497e+16
-2508333.3333333335,-2262500.0,2.3207320498294876e+16
-2508333.3333333335,-2201041.6666666665,2.3040929760558456e+16
-2508333.3333333335,-2139583.333333333,2.2711718672797576e+16
-2508333.3333333335,-2078125.0,2.254888127735148e+16
-2508333.3333333335,-2016666.6666666665,2.23872113856834e+16
-2508333.3333333335,-1955208.3333333333,2.2226700627080524e+16
-2508333.3333333335,-1893750.0,2.206734069084598e+16
-2508333.3333333335,-1832291.6666666665,2.190912332586854e+16
-2508333.3333333335,-1770833.3333333333,2.159608360060768e+16
-2508333.3333333335,-1709375.0,2.1441245032200652e+16
-2508333.3333333335,-1647916.6666666665,2.1287516617963696e+16
-2508333.3333333335,-1586458.3333333333,2.1134890398366476e+16
-2508333.3333333335,-1525000.0,2.0983358470946524e+16
-2508333.3333333335,-1463541.6666666665,2.0832912989900076e+16
-2508333.3333333335,-1402083.3333333333,2.068354616567582e+16
-2508333.3333333335,-1340625.0,2.053525026457147e+16
-2508333.3333333335,-1279166.6666666665,2.0241840573760556e+16
-2508333.3333333335,-1217708.3333333333,2.009671159230597e+16
-2508333.3333333335,-1156250.0,1.995262314968881e+16
-2508333.3333333335,-1094791.6666666665,1.9809567785503436e+16
-2508333.3333333335,-1033333.3333333333,1.9809567785503436e+16
-2508333.3333333335,-971875.0,1.9667538092833464e+16
-2508333.3333333335,-910416.6666666665,1.952652671786827e+16
-2508333.3333333335,-848958.333333333,1.938652635952209e+16
-2508333.3333333335,-787500.0,1.92475297690564e+16
-2508333.3333333335,-726041.6666666665,1.910952974970435e+16
-2508333.3333333335,-664583.333333333,1.910952974970435e+16
-2508333.3333333335,-603125.0,1.8972519156297852e+16
-2508333.3333333335,-541666.6666666665,1.8972519156297852e+16
-2508333.3333333335,-480208.333333333,1.883649089489802e+16
-2508333.3333333335,-418750.0,1.883649089489802e+16
-2508333.3333333335,-357291.6666666665,1.8701437922427776e+16
-2508333.3333333335,-295833.333333333,1.8701437922427776e+16
-2508333.3333333335,-234375.0,1.8567353246307144e+16
-2508333.3333333335,-172916.6666666665,1.8567353246307144e+16
-2508333.3333333335,-111458.33333333302,1.8567353246307144e+16
-2508333.3333333335,-50000.0,1.8567353246307144e+16
-2446875.0,-3000000.0,2.566699346323827e+16
-2446875.0,-2938541.6666666665,2.530026091705238e+16
-2446875.0,-2877083.3333333335,2.511886431509579e+16
-2446875.0,-2815625.0,2.4938768281829356e+16
-2446875.0,-2754166.6666666665,2.4759963492497816e+16
-2446875.0,-2692708.3333333335,2.45824406892021e+16
-2446875.0,-2631250.0,2.4231204340529796e+16
-2446875.0,-2569791.6666666665,2.4057472609339416e+16
-2446875.0,-2508333.3333333335,2.3884986491614976e+16
-2446875.0,-2446875.0,2.371373705661655e+16
-2446875.0,-2385416.6666666665,2.354371543763542e+16
-2446875.0,-2323958.333333333,2.3207320498294876e+16
-2446875.0,-2262500.0,2.3040929760558456e+16
-2446875.0,-2201041.6666666665,2.2875732003183836e+16
-2446875.0,-2139583.333333333,2.2711718672797576e+16
-2446875.0,-2078125.0,2.254888127735148e+16
-2446875.0,-2016666.6666666665,2.2226700627080524e+16
-2446875.0,-1955208.3333333333,2.206734069084598e+16
-2446875.0,-1893750.0,2.190912332586854e+16
-2446875.0,-1832291.6666666665,2.175204034019523e+16
-2446875.0,-1770833.3333333333,2.1441245032200652e+16
-2446875.0,-1709375.0,2.1287516617963696e+16
-2446875.0,-1647916.6666666665,2.1134890398366476e+16
-2446875.0,-1586458.3333333333,2.0983358470946524e+16
-2446875.0,-1525000.0,2.0832912989900076e+16
-2446875.0,-1463541.6666666665,2.068354616567582e+16
-2446875.0,-1402083.3333333333,2.0388017608333748e+16
-2446875.0,-1340625.0,2.0241840573760556e+16
-2446875.0,-1279166.6666666665,2.009671159230597e+16
-2446875.0,-1217708.3333333333,1.995262314968881e+16
-2446875.0,-1156250.0,1.9809567785503436e+16
-2446875.0,-1094791.6666666665,1.9667538092833464e+16
-2446875.0,-1033333.3333333333,1.952652671786827e+16
-2446875.0,-971875.0,1.938652635952209e+16
-2446875.0,-910416.6666666665,1.92475297690564e+16
-2446875.0,-848958.333333333,1.910952974970435e+16
-2446875.0,-787500.0,1.910952974970435e+16
-2446875.0,-726041.6666666665,1.8972519156297852e+16
-2446875.0,-664583.333333333,1.883649089489802e+16
-2446875.0,-603125.0,1.8701437922427776e+16
-2446875.0,-541666.6666666665,1.8701437922427776e+16
-2446875.0,-480208.333333333,1.8567353246307144e+16
-2446875.0,-418750.0,1.8567353246307144e+16
